,movies,year,imdb,metascore,nv
0,Gladiator,2000,8.5,67.0,1352094
1,Memento,2000,8.4,80.0,1134029
2,Requiem for a Dream,2000,8.3,68.0,772932
3,X-Men,2000,7.4,64.0,574042
4,Cast Away,2000,7.8,73.0,528867
5,American Psycho,2000,7.6,64.0,497778
6,Unbreakable,2000,7.3,62.0,389327
7,Meet the Parents,2000,7.0,73.0,312644
8,"O Brother, Where Art Thou?",2000,7.7,69.0,289510
9,The Patriot,2000,7.2,63.0,255925
10,Wo hu cang long,2000,7.8,94.0,254603
11,Almost Famous,2000,7.9,90.0,254424
12,Amores perros,2000,8.1,83.0,225196
13,Traffic,2000,7.6,86.0,196726
14,The Emperor's New Groove,2000,7.4,70.0,182197
15,Chocolat,2000,7.2,64.0,178633
16,Chicken Run,2000,7.0,88.0,178060
17,Erin Brockovich,2000,7.4,73.0,176461
18,Batoru rowaiaru,2000,7.6,81.0,169957
19,High Fidelity,2000,7.5,79.0,169349
20,Billy Elliot,2000,7.7,74.0,127486
21,Fa yeung nin wah,2000,8.1,85.0,126366
22,Shanghai Noon,2000,6.6,77.0,119917
23,Gladiator,2000,8.5,67.0,1352094
24,Memento,2000,8.4,80.0,1134029
25,Requiem for a Dream,2000,8.3,68.0,772932
26,X-Men,2000,7.4,64.0,574042
27,Cast Away,2000,7.8,73.0,528867
28,American Psycho,2000,7.6,64.0,497778
29,Unbreakable,2000,7.3,62.0,389327
30,Meet the Parents,2000,7.0,73.0,312644
31,"O Brother, Where Art Thou?",2000,7.7,69.0,289510
32,The Patriot,2000,7.2,63.0,255925
33,Wo hu cang long,2000,7.8,94.0,254603
34,Almost Famous,2000,7.9,90.0,254424
35,Amores perros,2000,8.1,83.0,225196
36,Traffic,2000,7.6,86.0,196726
37,The Emperor's New Groove,2000,7.4,70.0,182197
38,Chocolat,2000,7.2,64.0,178633
39,Chicken Run,2000,7.0,88.0,178060
40,Erin Brockovich,2000,7.4,73.0,176461
41,Batoru rowaiaru,2000,7.6,81.0,169957
42,High Fidelity,2000,7.5,79.0,169349
43,Billy Elliot,2000,7.7,74.0,127486
44,Fa yeung nin wah,2000,8.1,85.0,126366
45,Shanghai Noon,2000,6.6,77.0,119917
46,Gladiator,2000,8.5,67.0,1352094
47,Memento,2000,8.4,80.0,1134029
48,Requiem for a Dream,2000,8.3,68.0,772932
49,X-Men,2000,7.4,64.0,574042
50,Cast Away,2000,7.8,73.0,528867
51,American Psycho,2000,7.6,64.0,497778
52,Unbreakable,2000,7.3,62.0,389327
53,Meet the Parents,2000,7.0,73.0,312644
54,"O Brother, Where Art Thou?",2000,7.7,69.0,289510
55,The Patriot,2000,7.2,63.0,255925
56,Wo hu cang long,2000,7.8,94.0,254603
57,Almost Famous,2000,7.9,90.0,254424
58,Amores perros,2000,8.1,83.0,225196
59,Traffic,2000,7.6,86.0,196726
60,The Emperor's New Groove,2000,7.4,70.0,182197
61,Chocolat,2000,7.2,64.0,178633
62,Chicken Run,2000,7.0,88.0,178060
63,Erin Brockovich,2000,7.4,73.0,176461
64,Batoru rowaiaru,2000,7.6,81.0,169957
65,High Fidelity,2000,7.5,79.0,169349
66,Billy Elliot,2000,7.7,74.0,127486
67,Fa yeung nin wah,2000,8.1,85.0,126366
68,Shanghai Noon,2000,6.6,77.0,119917
69,Gladiator,2000,8.5,67.0,1352094
70,Memento,2000,8.4,80.0,1134029
71,Requiem for a Dream,2000,8.3,68.0,772932
72,X-Men,2000,7.4,64.0,574042
73,Cast Away,2000,7.8,73.0,528867
74,American Psycho,2000,7.6,64.0,497778
75,Unbreakable,2000,7.3,62.0,389327
76,Meet the Parents,2000,7.0,73.0,312644
77,"O Brother, Where Art Thou?",2000,7.7,69.0,289510
78,The Patriot,2000,7.2,63.0,255925
79,Wo hu cang long,2000,7.8,94.0,254603
